File Name,Status,Score,Triggered Flags
file_295_Microsoft.Windows.Diagnosis.Commands.WriteDiagProgress.ni.dll,BENIGN,10.62,"F1, F3, F9, F10"
file_296_Microsoft.Windows.Diagnosis.Commands.WriteDiagTelemetry.ni.dll,BENIGN,-3.0,"F1, F9, F10"
file_297_Microsoft.Windows.Diagnosis.SDHost.ni.dll,BENIGN,4.27,"F1, F3, F9, F10"
file_298_Microsoft.WindowsSearch.Commands.ni.dll,BENIGN,52.22,"F3, F9, F10, F11"
file_299_Microsoft.Windows.Diagnosis.Commands.UpdateDiagReport.ni.dll,BENIGN,4.32,"F1, F3, F9, F10"
file_29_Microsoft.DirectX.DirectDraw.dll,BENIGN,-0.4,"F3, F11"
file_2_HelpPane.exe,BENIGN,7.51,"F1, F3, F6, F9"
file_300_Microsoft.WSMan.Management.Activities.ni.dll,BENIGN,56.72,"F3, F9, F10, F11"
file_301_Microsoft.Windows.Diagnosis.SDCommon.ni.dll,BENIGN,4.42,"F1, F3, F9, F10"
file_302_MMCEx.ni.dll,BENIGN,55.74,"F3, F9, F10, F11"
file_303_MMCFxCommon.ni.dll,BENIGN,53.59,"F3, F9, F10, F11"
file_304_mscorlib.ni.dll,BENIGN,57.44,"F3, F9, F10, F11"
file_305_napinit.ni.dll,BENIGN,52.07,"F3, F9, F10, F11"
file_306_PresentationFramework.ni.dll,BENIGN,57.8,"F3, F9, F10, F11"
file_307_PresentationFramework.Aero2.ni.dll,BENIGN,56.1,"F3, F9, F10, F11"
file_308_PresentationCore.ni.dll,BENIGN,57.2,"F3, F9, F10, F11"
file_309_SecurityAuditPoliciesSnapIn.ni.dll,BENIGN,52.59,"F3, F9, F10, F11"
file_30_Microsoft.DirectX.DirectInput.dll,BENIGN,1.28,"F3, F11"
file_310_SrpUxSnapIn.ni.dll,BENIGN,56.91,"F3, F9, F10, F11"
file_311_System.ni.dll,BENIGN,57.24,"F3, F9, F10, F11"
file_312_System.Configuration.ni.dll,BENIGN,57.27,"F3, F9, F10, F11"
file_313_System.Core.ni.dll,BENIGN,56.49,"F3, F9, F10, F11"
file_314_System.Net.Http.ni.dll,BENIGN,56.85,"F3, F9, F10, F11"
file_315_System.Runtime.WindowsRuntime.UI.Xaml.ni.dll,BENIGN,51.47,"F3, F9, F10, F11"
file_316_System.Runtime.Serialization.ni.dll,BENIGN,57.3,"F3, F9, F10, F11"
file_317_System.Xaml.ni.dll,BENIGN,56.76,"F3, F9, F10, F11"
file_318_System.Xml.ni.dll,BENIGN,57.74,"F3, F9, F10, F11"
file_319_System.Xml.Linq.ni.dll,BENIGN,56.59,"F3, F9, F10, F11"
file_31_Microsoft.DirectX.DirectPlay.dll,BENIGN,-0.68,"F3, F11"
file_320_TaskScheduler.ni.dll,BENIGN,58.39,"F3, F9, F10, F11"
file_321_WindowsBase.ni.dll,BENIGN,56.84,"F3, F9, F10, F11"
file_322_Accessibility.ni.dll,BENIGN,50.63,"F3, F6, F9, F10, F11"
file_323_AuditPolicyGPManagedStubs.Interop.ni.dll,BENIGN,35.4,"F1, F6, F9, F10"
file_324_CustomMarshalers.ni.dll,BENIGN,43.3,"F1, F3, F6, F9, F10"
file_325_EventViewer.ni.dll,BENIGN,52.85,"F3, F6, F9, F10, F11"
file_326_Microsoft.ApplicationId.RuleWizard.ni.dll,BENIGN,51.67,"F3, F6, F9, F10, F11"
file_327_Microsoft.ApplicationId.Framework.ni.dll,BENIGN,53.0,"F3, F6, F9, F10, F11"
file_328_Microsoft.CertificateServices.PKIClient.Cmdlets.ni.dll,BENIGN,53.4,"F3, F6, F9, F10, F11"
file_329_Microsoft.ConfigCI.Commands.ni.dll,BENIGN,53.55,"F3, F6, F9, F10, F11"
file_32_Microsoft.DirectX.DirectSound.dll,BENIGN,0.73,"F3, F11"
file_330_Microsoft.Dtc.PowerShell.ni.dll,BENIGN,52.46,"F3, F6, F9, F10, F11"
file_331_Microsoft.GroupPolicy.Interop.ni.dll,BENIGN,53.83,"F3, F6, F9, F10, F11"
file_332_Microsoft.GroupPolicy.Reporting.ni.dll,BENIGN,52.67,"F3, F6, F9, F10, F11"
file_333_Microsoft.GroupPolicy.AdmTmplEditor.ni.dll,BENIGN,53.58,"F3, F6, F9, F10, F11"
file_334_Microsoft.Isam.Esent.Interop.Wsa.ni.dll,BENIGN,52.61,"F3, F6, F9, F10, F11"
file_335_Microsoft.InternationalSettings.Commands.ni.dll,BENIGN,50.9,"F3, F6, F9, F10, F11"
file_336_Microsoft.Isam.Esent.Interop.ni.dll,BENIGN,52.95,"F3, F6, F9, F10, F11"
file_337_Microsoft.KeyDistributionService.Cmdlets.ni.dll,BENIGN,51.95,"F3, F6, F9, F10, F11"
file_338_Microsoft.Management.Infrastructure.Native.ni.dll,BENIGN,52.66,"F3, F6, F9, F10, F11"
file_339_Microsoft.Management.Infrastructure.ni.dll,BENIGN,53.04,"F3, F6, F9, F10, F11"
file_33_CustomMarshalers.dll,BENIGN,5.99,"F3, F9, F11"
file_340_Microsoft.Management.Infrastructure.CimCmdlets.ni.dll,BENIGN,53.1,"F3, F6, F9, F10, F11"
file_341_Microsoft.ManagementConsole.ni.dll,BENIGN,53.26,"F3, F6, F9, F10, F11"
file_342_Microsoft.PowerShell.Core.Activities.ni.dll,BENIGN,52.73,"F3, F6, F9, F10, F11"
file_343_Microsoft.PowerShell.Utility.Activities.ni.dll,BENIGN,52.49,"F3, F6, F9, F10, F11"
file_344_Microsoft.PowerShell.GPowerShell.ni.dll,BENIGN,53.15,"F3, F6, F9, F10, F11"
file_345_Microsoft.PowerShell.Editor.ni.dll,BENIGN,53.24,"F3, F6, F9, F10, F11"
file_346_Microsoft.PowerShell.Commands.Diagnostics.ni.dll,BENIGN,54.08,"F3, F6, F9, F10, F11"
file_347_Microsoft.PowerShell.Diagnostics.Activities.ni.dll,BENIGN,52.65,"F3, F6, F9, F10, F11"
file_348_Microsoft.PowerShell.ScheduledJob.ni.dll,BENIGN,53.77,"F3, F6, F9, F10, F11"
file_349_Microsoft.PowerShell.Commands.Utility.ni.dll,BENIGN,49.38,"F3, F6, F9, F10, F11"
file_34_ISymWrapper.dll,BENIGN,6.55,"F3, F9, F11"
file_350_Microsoft.PowerShell.Activities.ni.dll,BENIGN,54.26,"F3, F6, F9, F10, F11"
file_351_Microsoft.PowerShell.Security.ni.dll,BENIGN,53.95,"F3, F6, F9, F10, F11"
file_352_Microsoft.PowerShell.Security.Activities.ni.dll,BENIGN,52.36,"F3, F6, F9, F10, F11"
file_353_Microsoft.PowerShell.Management.Activities.ni.dll,BENIGN,52.71,"F3, F6, F9, F10, F11"
file_354_Microsoft.PowerShell.Cmdletization.OData.ni.dll,BENIGN,52.94,"F3, F6, F9, F10, F11"
file_355_Microsoft.PowerShell.Commands.Management.ni.dll,BENIGN,54.29,"F3, F6, F9, F10, F11"
file_356_Microsoft.PowerShell.ConsoleHost.ni.dll,BENIGN,54.55,"F3, F6, F9, F10, F11"
file_357_Microsoft.PowerShell.GraphicalHost.ni.dll,BENIGN,53.37,"F3, F6, F9, F10, F11"
file_358_Microsoft.PowerShell.ISECommon.ni.dll,BENIGN,51.77,"F3, F6, F9, F10, F11"
file_359_Microsoft.PowerShell.Workflow.ServiceCore.ni.dll,BENIGN,53.66,"F3, F6, F9, F10, F11"
file_35_Microsoft.Ink.dll,BENIGN,4.58,"F3, F9, F11"
file_360_Microsoft.Security.ApplicationId.PolicyManagement.PolicyModel.ni.dll,BENIGN,52.94,"F3, F6, F9, F10, F11"
file_361_Microsoft.SecureBoot.Commands.ni.dll,BENIGN,51.53,"F3, F6, F9, F10, F11"
file_362_Microsoft.Security.ApplicationId.PolicyManagement.PolicyEngineApi.Interop.ni.dll,BENIGN,43.33,"F1, F3, F6, F9, F10"
file_363_Microsoft.Security.ApplicationId.PolicyManagement.PolicyManager.ni.dll,BENIGN,52.92,"F3, F6, F9, F10, F11"
file_364_Microsoft.Security.ApplicationId.PolicyManagement.Cmdlets.ni.dll,BENIGN,52.95,"F3, F6, F9, F10, F11"
file_365_Microsoft.Security.ApplicationId.Wizards.AutomaticRuleGenerationWizard.ni.dll,BENIGN,55.43,"F3, F6, F9, F10, F11"
file_366_Microsoft.Security.ApplicationId.PolicyManagement.XmlHelper.ni.dll,BENIGN,43.48,"F1, F3, F6, F9, F10"
file_367_Microsoft.Tpm.Commands.ni.dll,BENIGN,52.57,"F3, F6, F9, F10, F11"
file_368_Microsoft.VisualBasic.ni.dll,BENIGN,54.88,"F3, F6, F9, F10, F11"
file_369_Microsoft.Windows.Diagnosis.Commands.UpdateDiagRootcause.ni.dll,BENIGN,42.3,"F1, F3, F6, F9, F10"
file_36_Microsoft.Interop.Security.AzRoles.dll,BENIGN,-2.72,"F1, F3, F9"
file_370_Microsoft.WSMan.Runtime.ni.dll,BENIGN,35.4,"F1, F6, F9, F10"
file_371_Microsoft.Windows.DSC.CoreConfProviders.ni.dll,BENIGN,54.35,"F3, F6, F9, F10, F11"
